,aModel,n_test_objects 10,n_test_objects 11,n_test_objects 12,n_test_objects 13,n_test_objects 14,n_test_objects 15,n_test_objects 16,n_test_objects 17,n_test_objects 18,n_test_objects 19,n_test_objects 20,n_test_objects 21,n_test_objects 22,n_test_objects 23,n_test_objects 24,n_test_objects 3,n_test_objects 4,n_test_objects 5,n_test_objects 6,n_test_objects 7,n_test_objects 8,n_test_objects 9
0,2SetLayersDefaultParams,0.1603015810251236,0.15850743651390076,0.15705300867557526,0.1548084020614624,0.15242698788642883,0.15071791410446167,0.1484997421503067,0.14711123704910278,0.1445246934890747,0.14327509701251984,0.1413477212190628,0.13922350108623505,0.13790954649448395,0.1363009810447693,0.1345524787902832,0.04910000041127205,0.17039436101913452,0.1531120240688324,0.16234494745731354,0.16221705079078674,0.1619267612695694,0.16163310408592224
1,32SetLayersDefaultParams,0.6493566632270813,0.6567595601081848,0.661405622959137,0.6669127941131592,0.6729791164398193,0.6765956878662109,0.6810879707336426,0.6842886209487915,0.6878234148025513,0.6913743615150452,0.6944680213928223,0.6973669528961182,0.6998816132545471,0.7018532752990723,0.7044996023178101,0.5667688846588135,0.5848033428192139,0.602166473865509,0.615508496761322,0.6256343722343445,0.6345216035842896,0.6424651741981506
2,10SetLayersBestParams,0.12449154257774353,0.12611941993236542,0.12709060311317444,0.12862853705883026,0.12954433262348175,0.13038818538188934,0.13025201857089996,0.13151346147060394,0.13167022168636322,0.1324751377105713,0.13239705562591553,0.13238224387168884,0.13309669494628906,0.13357795774936676,0.13300172984600067,0.05608068034052849,0.12806685268878937,0.09799426048994064,0.11651890724897385,0.11448240280151367,0.11938121914863586,0.12116602808237076
3,8SetLayersBestParams2,0.12565109133720398,0.12898266315460205,0.13211625814437866,0.13570772111415863,0.13873903453350067,0.14138031005859375,0.14423170685768127,0.14654618501663208,0.14922846853733063,0.15202055871486664,0.1539115607738495,0.15555238723754883,0.15852540731430054,0.16073927283287048,0.161976158618927,0.0754224881529808,0.13260391354560852,0.0983784943819046,0.11553817242383957,0.11283647269010544,0.11811720579862595,0.12118062376976013
