,aModel,n_test_objects 10,n_test_objects 11,n_test_objects 12,n_test_objects 13,n_test_objects 14,n_test_objects 15,n_test_objects 16,n_test_objects 17,n_test_objects 18,n_test_objects 19,n_test_objects 20,n_test_objects 21,n_test_objects 22,n_test_objects 23,n_test_objects 24,n_test_objects 3,n_test_objects 4,n_test_objects 5,n_test_objects 6,n_test_objects 7,n_test_objects 8,n_test_objects 9
0,2SetLayersDefaultParams,0.21276703476905823,0.2087521106004715,0.20531554520130157,0.20157490670681,0.19855038821697235,0.19499897956848145,0.1921231895685196,0.19001270830631256,0.18686671555042267,0.18545447289943695,0.1825188845396042,0.1803463250398636,0.17839425802230835,0.1761968433856964,0.17432230710983276,0.23082031309604645,0.2565165162086487,0.23646962642669678,0.23176997900009155,0.2262158989906311,0.22129815816879272,0.21650144457817078
1,32SetLayersDefaultParams,0.4479610025882721,0.44977885484695435,0.4509023427963257,0.45272961258888245,0.4533705711364746,0.45351940393447876,0.4554134011268616,0.45501774549484253,0.4562128186225891,0.45521676540374756,0.4569167494773865,0.4574781358242035,0.4577851891517639,0.45778217911720276,0.45783039927482605,0.43106281757354736,0.4419451653957367,0.43855828046798706,0.4384342133998871,0.44365406036376953,0.4448166787624359,0.4469431936740875
2,10SetLayersBestParams,0.11350370943546295,0.11440734565258026,0.11417990922927856,0.114992156624794,0.11511398106813431,0.11492034047842026,0.11475631594657898,0.115035280585289,0.11459876596927643,0.11497797071933746,0.11434967070817947,0.11378440260887146,0.11431806534528732,0.11411675810813904,0.11374916881322861,0.06530473381280899,0.12756626307964325,0.10189932584762573,0.11112333834171295,0.10927697271108627,0.11134642362594604,0.11213845759630203
3,8SetLayersBestParams2,0.10763142257928848,0.10860034823417664,0.10913853347301483,0.11077654361724854,0.11220530420541763,0.11304466426372528,0.11435966938734055,0.11565586924552917,0.11634699255228043,0.11754953116178513,0.11871759593486786,0.1188434362411499,0.12047919631004333,0.12158884108066559,0.12237227708101273,0.0965869352221489,0.13157884776592255,0.10529212653636932,0.10889558494091034,0.10470493137836456,0.10545750707387924,0.1063799187541008
