,aModel,n_test_objects 10,n_test_objects 11,n_test_objects 12,n_test_objects 13,n_test_objects 14,n_test_objects 15,n_test_objects 16,n_test_objects 17,n_test_objects 18,n_test_objects 19,n_test_objects 2,n_test_objects 20,n_test_objects 21,n_test_objects 22,n_test_objects 23,n_test_objects 24,n_test_objects 3,n_test_objects 4,n_test_objects 5,n_test_objects 6,n_test_objects 7,n_test_objects 8,n_test_objects 9
0,2SetLayersDefaultParams,0.16185443103313446,0.16031794250011444,0.15826132893562317,0.1560155153274536,0.154457688331604,0.15137122571468353,0.1501753181219101,0.147861510515213,0.14615978300571442,0.1444544494152069,0.5009099841117859,0.1418219953775406,0.14053875207901,0.13890120387077332,0.13678982853889465,0.13536997139453888,0.04882996901869774,0.1704462170600891,0.15607209503650665,0.16415613889694214,0.16362236440181732,0.16384921967983246,0.1629580855369568
1,32SetLayersDefaultParams,0.5521130561828613,0.5549540519714355,0.5587617754936218,0.5604405999183655,0.5629938840866089,0.5650342106819153,0.5668350458145142,0.5687989592552185,0.5690906047821045,0.5705162286758423,0.5004600286483765,0.5713662505149841,0.573131799697876,0.5728334784507751,0.5748670101165771,0.5752096176147461,0.5082281827926636,0.5166283845901489,0.5307886004447937,0.5339013338088989,0.5403987765312195,0.5455191731452942,0.5504636764526367
2,10SetLayersBestParams,0.12432672083377838,0.12621836364269257,0.12673509120941162,0.12741166353225708,0.12836536765098572,0.12785272300243378,0.1293296068906784,0.12926386296749115,0.1293601542711258,0.1298164427280426,0.49772000312805176,0.1293611377477646,0.1300094872713089,0.12936370074748993,0.12963968515396118,0.12922215461730957,0.058154188096523285,0.12892697751522064,0.09927857667207718,0.11667882651090622,0.11473894864320755,0.12010185420513153,0.12164943665266037
3,8SetLayersBestParams2,0.12452401220798492,0.1282723993062973,0.13154087960720062,0.13424202799797058,0.13760137557983398,0.13891971111297607,0.14232881367206573,0.14460214972496033,0.1464778631925583,0.14899475872516632,0.4964999854564667,0.15050308406352997,0.1528058797121048,0.15402860939502716,0.15598221123218536,0.157111257314682,0.07563251256942749,0.13250567018985748,0.09760250896215439,0.11411910504102707,0.11212939769029617,0.11722838133573532,0.12070021778345108
