,aModel,n_test_objects 10,n_test_objects 11,n_test_objects 12,n_test_objects 13,n_test_objects 14,n_test_objects 15,n_test_objects 16,n_test_objects 17,n_test_objects 18,n_test_objects 19,n_test_objects 2,n_test_objects 20,n_test_objects 21,n_test_objects 22,n_test_objects 23,n_test_objects 24,n_test_objects 3,n_test_objects 4,n_test_objects 5,n_test_objects 6,n_test_objects 7,n_test_objects 8,n_test_objects 9
0,2SetLayersDefaultParams,0.44638022780418396,0.45344868302345276,0.45716798305511475,0.4616137742996216,0.46455422043800354,0.4674176871776581,0.47065702080726624,0.4729422628879547,0.47718289494514465,0.4795610010623932,0.5005999803543091,0.4832993745803833,0.48524242639541626,0.48866117000579834,0.49079447984695435,0.4932451546192169,0.4240298569202423,0.32560452818870544,0.15583805739879608,0.2892710566520691,0.38556554913520813,0.4207860231399536,0.4362654387950897
1,32SetLayersDefaultParams,0.5008831024169922,0.4993286430835724,0.4990626573562622,0.4908171594142914,0.49211472272872925,0.4962095022201538,0.49323055148124695,0.48905149102211,0.4863843619823456,0.4907761812210083,0.49834999442100525,0.49446964263916016,0.496563583612442,0.4984931945800781,0.5003480315208435,0.5046908855438232,0.5133835077285767,0.5030217170715332,0.5035498738288879,0.5053836107254028,0.5070986747741699,0.5053308010101318,0.5033517479896545
2,10SetLayersBestParams,0.4070937931537628,0.42257413268089294,0.43134456872940063,0.43870553374290466,0.4441991448402405,0.44775551557540894,0.4515860974788666,0.4539443850517273,0.4574853181838989,0.45916882157325745,0.5004400014877319,0.46200498938560486,0.4626789093017578,0.4648808538913727,0.4663296937942505,0.4667160212993622,0.3300681710243225,0.21981890499591827,0.0954456552863121,0.18559125065803528,0.27510491013526917,0.34031760692596436,0.381864458322525
3,8SetLayersBestParams2,0.3414604663848877,0.3620416522026062,0.37591296434402466,0.38786524534225464,0.3969203233718872,0.40380969643592834,0.4101064205169678,0.41522765159606934,0.4207685887813568,0.4246044158935547,0.49994999170303345,0.42881399393081665,0.4317303001880646,0.43479856848716736,0.4379042983055115,0.4407433569431305,0.20248150825500488,0.17091572284698486,0.1041729748249054,0.1626800298690796,0.22159484028816223,0.2755510210990906,0.3128822445869446
