,aModel,n_test_objects 10,n_test_objects 11,n_test_objects 12,n_test_objects 13,n_test_objects 14,n_test_objects 15,n_test_objects 16,n_test_objects 17,n_test_objects 18,n_test_objects 19,n_test_objects 20,n_test_objects 21,n_test_objects 22,n_test_objects 23,n_test_objects 24,n_test_objects 3,n_test_objects 4,n_test_objects 5,n_test_objects 6,n_test_objects 7,n_test_objects 8,n_test_objects 9
0,2SetLayersDefaultParams,0.21516583859920502,0.21150743961334229,0.2085331678390503,0.20517218112945557,0.2023390829563141,0.19915172457695007,0.1964295506477356,0.19456636905670166,0.1916898488998413,0.19036902487277985,0.18772830069065094,0.1856553852558136,0.1839562952518463,0.18197765946388245,0.18015901744365692,0.22236664593219757,0.25509870052337646,0.23512616753578186,0.2319401204586029,0.22690576314926147,0.22283808887004852,0.21851226687431335
1,32SetLayersDefaultParams,0.5099412202835083,0.5116879940032959,0.5134381055831909,0.5130794644355774,0.5158551335334778,0.5163344740867615,0.5174128413200378,0.5185849070549011,0.5209681391716003,0.5218740701675415,0.5233407020568848,0.5255197286605835,0.5268961191177368,0.5279456377029419,0.5286246538162231,0.5164017677307129,0.5113373398780823,0.508749783039093,0.510608971118927,0.5087347030639648,0.5100361108779907,0.5093860030174255
2,10SetLayersBestParams,0.11544632166624069,0.11639980226755142,0.11644519865512848,0.11733659356832504,0.11759817600250244,0.11762260645627975,0.11788991838693619,0.1180509477853775,0.11752130836248398,0.11811968684196472,0.11758780479431152,0.11706297099590302,0.11748064309358597,0.11755720525979996,0.11686689406633377,0.06528481841087341,0.1207793727517128,0.10380398482084274,0.10933709889650345,0.1106991246342659,0.11216563731431961,0.11353261023759842
3,8SetLayersBestParams2,0.11282757669687271,0.11501023173332214,0.11674441397190094,0.11921033263206482,0.12121403217315674,0.12323827296495438,0.12547355890274048,0.12757264077663422,0.12928587198257446,0.1318298876285553,0.13320422172546387,0.1347438246011734,0.13733360171318054,0.13881291449069977,0.1404106616973877,0.09495052695274353,0.1254982352256775,0.10759474337100983,0.10725439339876175,0.10739349573850632,0.10780112445354462,0.11018699407577515
